sample,injectionOrder
wash1,1
wash2,2
KB,3
W07-LCHBU01-1021Q-0207F-1,4
W07-F01-SYF0204-U01-1,5
QC1,6
QC2,7
QC3,8
QC4,9
QC5,10
P201205359,11
P201205360,12
P201205361,13
P201205362,14
P201205363,15
P201205364,16
P201205365,17
P201205366,18
P201205367,19
P201205368,20
QC6,21
P201205369,22
P201205370,23
P201205371,24
P201205372,25
P201205373,26
P201205374,27
P201205375,28
P201205376,29
P201205377,30
P201205378,31
P201205379,32
P201205380,33
P201205381,34
QC7,35
QC8,36
QC9,37
W07-LCHBU01-1021Q-0207F-2,38
W07-F01-SYF0204-U01-2,39
wash3,40
wash1,41
wash2,42
KB,43
W07-LCHBU01-1021Q-0207A-1,44
W07-B03-YQT0201-U01-1,45
QC1,46
QC2,47
QC3,48
QC4,49
QC5,50
P201205359,51
P201205360,52
P201205361,53
P201205362,54
P201205363,55
P201205364,56
P201205365,57
P201205366,58
P201205367,59
P201205368,60
QC6,61
P201205369,62
P201205370,63
P201205371,64
P201205372,65
P201205373,66
P201205374,67
P201205375,68
P201205376,69
P201205377,70
P201205378,71
P201205379,72
P201205380,73
P201205381,74
QC7,75
QC8,76
QC9,77
W07-LCHBU01-1021Q-0207F-2,78
W07-F01-SYF0204-U01-2,79
wash3,80
