"compoundA","compoundB","correlation","pValue"
"Phosphoric.acid","Glucaric.acid",0.937259569796621,6.88691432770838e-06
"Ethanolamine","Glucaric.acid",0.873836510983719,0.000202927937579034
"Glutaric.acid","Glucaric.acid",0.9206856906548,2.16130461390129e-05
"Monomethyl.phosphate","Glucaric.acid",0.885525016555836,0.000127376833919612
"Tetracosanoic.acid","Glucaric.acid",0.84238861775545,0.00058419540709842
"Octadecanoic.acid","Glucaric.acid",0.864445724771046,0.000285817101610242
"Adipic.acid","Glucaric.acid",0.903936637738289,5.47276464626378e-05
"Docosanoic.acid","Glucaric.acid",0.837919281230311,0.000666552235125462
"Glyceric.acid","Glucaric.acid",0.831049646194509,0.000810343490174947
"Docosanol","Glucaric.acid",0.829710588955003,0.00084096187102678
"Eicosanoic.acid","Glucaric.acid",0.817930044151922,0.00115052318186537
"Glutamate","Glucaric.acid",0.899072566929472,6.94715118074729e-05
"Heptadecanoic.acid","Glucaric.acid",0.804725114875365,0.0015945788041789
"Aspartic.acid","Glucaric.acid",0.908391562321607,4.3494941525335e-05
"Shikimic.acid","Glucaric.acid",0.765160254308242,0.00373346086656157
"Hexadecanoic.acid","Glucaric.acid",0.789850780579472,0.00224076634216708
"Fumaric.acid","Glucaric.acid",0.886942836039208,0.000119977660002935
"Nonadecanoic.acid","Glucaric.acid",0.674133214177809,0.0162115941408301
"Hydroxylamine","Glucaric.acid",0.732425004761588,0.00675023458840829
"Threonine","Glucaric.acid",0.764317035517413,0.00379511563471668
"Glycine","Glucaric.acid",0.656822274898202,0.020319022321565
"Ethanolamine","Phosphoric.acid",0.865253257895627,0.00027779823278884
"Glutaric.acid","Phosphoric.acid",0.902083117842326,6.00223391615806e-05
"Monomethyl.phosphate","Phosphoric.acid",0.876877921145313,0.000180577445507257
"Tetracosanoic.acid","Phosphoric.acid",0.879237759756839,0.000164600202217091
"Octadecanoic.acid","Phosphoric.acid",0.887306574321945,0.000118134812107318
"Adipic.acid","Phosphoric.acid",0.964249037247788,4.33145936895585e-07
"Docosanoic.acid","Phosphoric.acid",0.849970301236618,0.000462735479352716
"Glyceric.acid","Phosphoric.acid",0.732317140288338,0.00676249979704169
"Docosanol","Phosphoric.acid",0.843737529219594,0.000560959592120769
"Eicosanoic.acid","Phosphoric.acid",0.832452043528726,0.000779207667113591
"Glutamate","Phosphoric.acid",0.75728167019294,0.00434011922447919
"Heptadecanoic.acid","Phosphoric.acid",0.829263866005217,0.000851372696663466
"Caffeic.acid","Phosphoric.acid",-0.624073266759703,0.0300920751489766
"Aspartic.acid","Phosphoric.acid",0.804623106264602,0.00159845469785269
"Shikimic.acid","Phosphoric.acid",0.68299783497209,0.014362450593393
"Hexadecanoic.acid","Phosphoric.acid",0.808619889947637,0.00145190665295436
