fromNode,toNode,value,interaction_type,selfLoop,label,guid
A,B,0,,False,,A..B
B,C,0,,False,,B..C
B1,A1,0,,False,,B1..A1
B1,C1,0,,False,,B1..C1
B1,D1,0,,False,,B1..D1
D1,E1,0,,False,,D1..E1
E1,F1,0,,False,,E1..F1
F1,G1,0,,False,,F1..G1
G1,H1,0,,False,,G1..H1
H,H1,0,,False,,17
X,Y,0,,False,,18
Y,Z,0,,False,,19
C,D,0,,False,,C..D
X,Z,0,,False,,20
X,A,0,,False,,21
X,A1,0,,False,,22
C,E,0,,False,,C..E
A,E,0,,False,,A..E
A,F,0,,False,,A..F
F,G,0,,False,,F..G
F,H,0,,False,,F..H
B,H,0,,False,,B..H
B1,H,0,,False,,B1..H
