,dimension_1,dimension_2
5,-6.7943511,-1.9169383
0,0.5151687,7.5152024
4,6.9659141,2.1043851
1,-5.4206762,9.2790666
9,6.2440553,-1.3434954
2,0.4513309,2.1664656
1,-9.2704982,3.5392028
3,-2.3310537,-4.2917782
1,-9.2707532,5.4581305
4,8.5578977,-0.885959
3,-3.1973225,-4.4575027
5,-8.8584359,-0.926442
3,-4.4104961,-4.0064962
6,1.5715631,-9.6236563
1,-8.1193236,4.2996317
7,6.8878892,-3.962472
2,0.1304435,1.4852109
8,-4.7588131,2.0399828
6,1.3566946,-8.7830028
9,7.3675462,-2.7432398
4,6.2872422,2.7199049
0,0.1797178,7.3271739
9,7.7678369,-1.9881376
1,-5.42249,9.4032376
1,-3.1568032,-3.1179305
2,-0.9351289,0.5707453
4,5.7162319,-1.3652269
3,-3.2584996,-4.0285075
2,-0.7781966,0.7504196
7,7.1843495,-4.1160581
3,-5.0824957,-3.9963369
8,-4.9140829,2.5401879
6,1.9821948,-9.0434949
9,6.9960165,-4.0823169
0,1.2077334,6.599117
5,-8.6129492,-1.1798269
6,1.0396478,-8.655576
0,0.9690686,6.6963171
7,3.0934418,-1.0292384
6,1.7265316,-8.9985383
1,-8.7834192,4.9410005
8,-4.9036411,1.1204736
7,4.6039432,-3.1601131
9,6.8011171,-2.9024162
3,-4.2979206,-5.0775309
9,6.3677264,-1.9204449
8,-3.8366987,0.214121
5,-7.8892333,-0.8181033
9,-4.3724508,-4.3725225
3,-2.8508828,-4.4456123
3,-3.9290868,-3.2731494
0,0.2651475,8.0235182
7,4.1354853,-2.7370743
4,7.8104391,-1.7536508
9,5.6154129,-1.0536939
8,-3.9379046,1.9934645
0,0.5430528,9.1484176
9,7.1176211,-2.6121775
4,6.2162969,1.9483072
1,-5.8176136,9.0425951
4,6.8394796,2.7240338
4,8.1520125,-1.3205188
6,0.7992881,-8.7924677
0,0.1919415,7.5373034
4,7.4279042,1.3071244
5,-8.9504471,-0.915147
6,0.8342419,-9.3456765
1,-7.0798859,6.9665308
0,-0.0971651,9.7379353
0,1.5721042,7.4758783
1,-0.4268278,-0.8515716
7,7.0170803,-4.1111296
1,-8.9060094,5.424982
6,1.2172642,-9.1973644
3,-4.3672938,-4.6869285
0,0.8877712,7.0661232
2,-0.8895593,-0.2112607
1,-6.2339937,8.0504283
1,-5.7865314,7.7539755
7,7.1029389,-4.2355668
9,-5.0028103,-2.5489067
0,0.9936439,7.0444064
2,0.320279,2.035639
6,1.7199305,-9.8122037
7,3.981538,-3.1668998
8,-4.9128372,1.1052395
3,-4.9995196,-3.7248219
9,6.8025099,-3.6242267
0,0.667234,9.1370239
4,8.6095724,-0.3164962
6,1.6164078,-9.7558773
7,6.2082846,-3.8756193
4,6.5640707,1.6029417
6,1.5171892,-9.7179057
8,-4.2408117,1.6562607
0,1.2293362,7.3665092
7,4.3124126,-3.5575638
8,-4.6327292,1.6894055
3,-3.9425431,-4.5909681
1,-5.5727689,8.2377406
5,-6.7610974,-0.8629354
7,5.343491,-3.1354073
1,-9.7587343,5.2865665
7,5.8591484,-3.8097259
1,-9.0269103,3.3213327
1,-6.2925158,7.9306274
6,1.8107868,-9.1328107
3,-2.3368666,-4.2521166
0,-0.1351156,9.5831661
2,1.2983887,0.3736302
9,4.8942221,1.1844175
3,-3.4947928,-4.1829842
1,-8.0677102,4.6870831
1,-6.2726042,8.6821512
0,-0.6068333,8.4902806
4,8.2475082,-0.4656555
9,5.3368338,-0.7519342
2,-0.5793031,0.4750831
0,0.8567402,8.2581961
0,-0.2400046,7.1821524
2,0.2410108,0.8381228
0,-0.2276448,9.2049831
2,-0.2071388,0.4872368
7,6.6165756,-4.3986631
1,-8.0190876,6.3549001
8,-4.9913758,0.8201557
6,1.5326696,-8.9320992
4,8.7805364,-0.858762
1,-8.221302,5.1751243
6,0.5372588,-9.0106863
3,-3.9342774,-5.1974223
4,8.5256189,-1.2724676
5,-4.1016761,-3.9193161
9,6.2163774,-2.1022519
1,-8.9391181,2.652292
3,-2.234708,-4.253695
3,-4.595204,-4.3805363
8,-5.1479825,2.1217343
5,-5.687265,-2.6669758
4,7.8892089,-0.6371838
7,5.1411599,-5.0699471
7,7.2472867,-4.1703976
4,7.6713364,0.3049907
2,1.1416395,0.4445433
8,-3.9615555,-0.3344557
5,-8.6128334,-0.9755544
8,-4.3906435,2.0121928
6,1.5186229,-8.8625923
7,6.8943703,-0.6567384
3,-3.8807226,-4.09107
4,6.3461407,-0.0043651
6,1.4590943,-9.5885958
1,-8.0863513,6.1463918
9,7.1691609,-2.6628365
9,4.8857066,-1.9118122
6,1.0208278,-9.6985721
0,-0.7181809,8.1624929
3,-2.1178086,-4.0816317
7,3.7467284,-1.3647532
2,-0.4697373,0.9594544
8,-4.06721,0.3739092
2,-0.8585456,0.7885741
9,5.0428777,-0.2747149
4,8.1035899,-1.1677342
4,6.5752378,2.5052897
6,1.1057571,-9.1643884
4,7.6116021,-0.4198143
9,7.3325149,-2.3341546
7,5.2430453,-4.6303088
0,1.4410315,7.3701752
9,4.8358879,0.4591737
2,-0.5159112,0.8452126
9,4.7126323,-2.3750943
5,-8.8983354,-1.0980007
1,-7.137721,4.9783604
5,-8.7289483,-1.4707056
9,4.6048107,0.131308
1,-6.0396844,6.8900836
2,0.0693355,6.5807969
3,-2.9282403,-4.0263215
2,5.4123383,-5.2356666
3,-2.2947238,-4.2359575
5,-5.0868277,-2.6886673
9,6.4082794,-1.9352962
1,-8.5772117,3.8330898
7,6.094066,-3.8361358
6,2.9131408,-9.0621044
2,-0.1754736,0.0662527
8,-3.3787998,0.483922
2,0.5330435,0.2162858
2,0.0618369,0.4033809
5,-8.6246189,-0.9417601
0,1.3138835,7.745591
7,6.116867,-3.7753012
4,7.0043049,1.5556989
9,7.3195142,-2.6838254
7,3.7796407,-0.9012195
8,-5.0771084,2.2706014
3,-4.4793767,-4.302079
2,1.0809192,1.318426
1,-9.0653351,3.7642992
1,-5.4029155,9.3404486
8,-4.8409221,1.8417185
3,-2.3509815,-4.185349
6,1.885677,-8.8145449
1,-6.2381124,9.2296588
0,-0.2570567,9.125609
3,-2.3288986,-4.1840487
1,-7.0901124,5.6349754
0,-0.1682564,9.5260635
0,1.1805017,8.5756097
1,-7.1887637,5.818036
7,-8.9274865,4.1146029
2,0.6126559,2.0830997
7,3.5971745,-2.4150975
3,-2.6674142,-4.0857888
0,1.5320422,8.1807408
4,7.1315468,0.5085655
6,2.4244928,-9.1536605
5,-7.1124374,-2.0817549
2,-1.3039027,0.7397042
6,2.405928,-9.8494383
4,6.6681031,2.767951
7,6.1812603,-3.6856042
1,-2.2167197,-4.5520961
8,-4.8930442,1.8385189
9,4.4993226,0.4851207
9,6.0330199,-1.6225558
3,-4.8942709,-4.557326
0,-0.0198961,9.4716712
7,6.3872117,-4.9643468
1,-7.4858066,6.5256946
0,1.9178616,7.5933197
2,-0.0386001,2.4453804
0,1.1238583,8.1216354
3,-2.5138076,-4.0181286
5,-7.302367,-0.950928
4,7.5524897,0.421291
6,1.92249,-9.8497197
5,-8.3021865,-1.6861203
8,-7.117199,5.8620906
6,2.9944741,-10.2296058
3,-3.3870164,-3.6785036
7,5.5083778,-3.7904409
5,-5.1973569,-1.6956298
8,-4.8388369,1.8907746
0,-0.1660003,9.5351656
9,6.1456585,-1.7117548
1,-9.1453539,3.4498753
0,-0.0621689,9.6179877
3,-4.9525414,-3.9579664
1,-7.014836,5.7322386
2,0.1460629,-0.1486165
2,0.3558051,2.8274589
3,-4.1499137,-3.5432836
3,-2.2287423,-4.2531516
6,-0.1964469,-8.5678334
4,7.6875958,-0.2532532
7,5.138497,-4.579524
5,-8.337046,-1.8768505
0,-1.0407477,8.2946075
6,1.3662431,-9.7053588
2,0.1496884,-9.1194966
7,5.5750376,-3.8473421
9,5.512662,2.2459203
8,-4.4944199,1.8788898
5,-5.5538399,-1.780447
9,5.7930506,-1.383857
2,0.925213,0.5183627
1,-6.8139023,7.1414569
1,-7.8048611,6.4669292
4,7.3418338,-0.4584027
4,7.7745553,0.5791328
5,-8.252285,-1.7485076
6,-0.1026523,-8.7953557
4,7.6540782,-0.025705
1,-6.7880066,5.2412694
2,0.1387591,2.6081464
5,-3.4099981,-3.2118047
3,-2.3435081,-4.3874152
9,6.2895407,-1.5818933
3,-2.536238,-4.0837008
9,4.8740946,2.3265248
0,0.1625272,8.9945749
5,-4.9358788,-2.6157479
9,6.0771576,-1.6522275
6,1.2717026,-9.1848832
5,-8.6385693,-1.6866594
7,3.8336593,-3.4529998
4,7.5495193,-0.3587982
1,-6.6317047,7.2506066
3,-2.7180302,-4.1372849
4,6.6050878,-0.6021871
0,0.7090218,8.2963091
4,6.479345,2.9124233
8,-4.9842918,2.1159004
0,1.134914,8.56936
4,7.8651056,-0.2289368
3,-4.7287559,-4.1238744
6,2.7055737,-9.8363598
8,-4.2399717,0.88358
7,6.1393664,-3.9135117
6,0.8795617,-9.528168
0,0.388128,7.6161135
9,3.8696418,-0.9598932
7,6.6554363,-4.3207821
5,-4.7335089,-2.774458
7,6.0837882,-4.0648494
2,-0.049637,2.3874181
1,-6.2900198,7.9464077
1,-7.6871376,4.621487
6,2.0958065,-9.7665931
8,-4.0320026,0.0908303
9,6.3864601,-1.8097762
4,7.0040605,1.7521925
1,-5.517599,8.0375114
