,dimension_1,dimension_2
5,-1.5403153,1.1271481
0,-1.914693,-1.4436612
4,0.8951216,-0.2982792
1,-3.3357568,-0.557501
9,-1.3875277,0.9503484
2,0.3414155,3.4909024
1,-1.6376619,1.5398313
3,-1.7916727,0.7367641
1,1.1841647,1.0760806
4,-0.0467869,-2.3599124
3,-1.9976685,2.5674438
5,0.5341482,0.5212796
3,0.6546723,1.9108749
6,-1.2356653,-1.2595251
1,-0.3506059,3.349597
7,-1.6263432,1.6617778
2,0.9492318,1.9310338
8,-2.3121747,0.3008711
6,-2.8080006,-1.4260724
9,1.334211,-1.3703104
4,1.1524087,-1.1751027
0,-3.4218705,1.0890706
9,0.0370748,-0.901742
1,-0.3497311,2.9708356
1,-0.4577487,0.4165507
2,-2.9734042,0.502504
4,-1.2927929,-0.612538
3,-0.7105308,-0.4940349
2,0.5587056,-0.6994605
7,0.6603908,-0.6606299
3,-1.9280171,1.1132774
8,-0.0944758,3.1333612
6,1.1657577,-0.4787507
9,-1.0391481,-1.5162865
0,-0.254478,0.6378633
5,-0.9593239,-1.6213791
6,1.336793,0.325796
0,-2.4048283,1.8840055
7,1.5700357,-0.2125402
6,0.0510564,3.5668925
1,1.1683591,2.097792
8,-1.4863002,-1.5879825
7,-0.0978743,3.6028328
9,-0.2360063,3.5669933
3,-0.3470734,2.9507168
9,-0.1600713,3.6326364
8,0.2841916,1.4015402
5,-1.7651573,1.2311452
9,-1.7626734,1.8590332
3,1.2087329,2.5684675
3,-2.5108242,0.211349
0,-1.7253628,-0.8768207
7,1.678269,-0.3480034
4,-2.6945222,-0.8900448
9,-0.613797,2.2254632
8,0.8736717,1.8606879
0,0.7190751,0.4035256
9,1.0819598,1.8982475
4,-3.0476662,0.8896478
1,-2.2832744,0.6775407
4,-2.6040914,-1.0750002
4,-2.4836051,-1.1791721
6,-3.303389,-0.5291691
0,0.5055424,1.5202921
4,-3.1685755,-0.3080681
5,0.6570173,0.4595759
6,0.2550339,2.9989225
1,0.7410534,0.4949561
0,0.3228115,3.3647203
0,-0.9421207,-0.7770318
1,0.9852391,-1.9088264
7,0.0465102,3.649852
1,-1.3902829,2.0721364
6,-0.7163705,1.1308943
3,-1.1661701,-1.2473148
0,-1.435455,2.304455
2,-0.802844,2.8413617
1,0.1602465,-0.8972389
1,-0.2527873,1.6951826
7,-1.4816977,-1.7434156
9,-0.1948367,-0.8317138
0,0.2337507,-1.2943238
2,-1.965177,1.56766
6,1.0357828,0.3089491
7,-2.703762,-1.1218975
8,-0.9357542,0.7820378
3,0.161826,1.2739725
9,0.5039444,-1.9889859
0,-2.7648345,-1.2845569
4,0.1691622,3.5215824
6,0.4850252,1.372793
7,0.5315726,3.2096997
4,-1.4020749,0.5239962
6,-0.1051941,-1.624452
8,0.2722349,0.7846423
0,-2.8473349,-0.3620545
7,1.2437647,-1.0452287
8,-0.3382249,2.8614509
3,1.2489725,2.5269259
1,1.6914348,-0.1941053
5,-1.6556664,1.157009
7,-0.0529744,-1.3146431
1,0.2555489,1.5146414
7,0.1479789,-1.5584355
1,-2.7501441,-1.4192022
1,-3.173821,-0.9041518
6,-1.9577604,1.3242277
3,-3.1541733,-0.3052936
0,-2.8020991,1.8568393
2,-2.7691289,0.9644089
9,1.1054442,1.9893894
3,-3.3996441,-0.8921785
1,-0.0006431,1.2254346
1,-1.396829,-1.4457522
0,0.3587784,1.2352751
4,0.3054516,-2.3849585
9,0.5583461,0.3006948
2,-1.0950176,0.739926
0,0.9055409,0.4104502
0,-2.175268,2.0574062
2,-3.3417398,-0.378108
0,-0.739561,0.0477774
2,-3.2586503,1.2123916
7,-1.0166474,-0.4233849
1,0.1567311,3.723661
8,-0.6957806,0.5014363
6,-2.1563384,-1.3592236
4,0.3908895,-1.0380414
1,0.6621665,-2.1914737
6,-1.5444708,1.4071934
3,-3.2995488,-1.257567
4,1.6011941,0.0243751
5,-2.4978787,-0.1878667
9,-0.9894795,-0.2155455
1,-0.7271633,2.9850445
3,-1.755043,2.4953563
3,-2.0022164,-1.3017257
8,0.1245142,1.6187774
5,-2.9364885,0.9170052
4,-1.9753506,1.6021197
7,-0.5799469,2.7856384
7,-1.8084467,1.5720811
4,-0.4204212,-1.661102
2,-1.1237134,1.0329745
8,-1.2392801,-0.6539762
5,-1.503346,-1.0274207
8,-2.2744742,-0.5256272
6,0.8075574,-0.0706177
7,-1.4404566,1.6866212
3,0.9645898,-0.9095065
4,-2.5060844,1.6864912
6,-0.9540435,-1.5069748
1,1.6243969,-1.1240348
9,0.3884728,-1.6759213
9,0.6887757,-0.5601834
6,-2.5245882,-0.4965974
0,1.2270904,2.1132297
3,-2.3566673,1.1728047
