,dimensions,euclidean
"[1, ]",15,∞
"[2, ]",16,0.9350334
"[3, ]",21,0.0419236
"[4, ]",22,0.2757129
"[5, ]",23,0.2713342
"[6, ]",24,0.1434241
"[7, ]",25,0.1578803
"[8, ]",26,0.0027574
"[9, ]",27,0.1614093
"[10, ]",33,0.0412628
"[11, ]",34,0.1098078
"[12, ]",35,0.0985498
"[13, ]",36,0.0895802
"[14, ]",38,0.0298971
"[15, ]",39,0.03183
"[16, ]",44,0.1415011
"[17, ]",45,0.0897587
"[18, ]",46,0.00388
"[19, ]",51,0.0106541
"[20, ]",52,0.002807
"[21, ]",53,0.0008744
"[22, ]",54,0.0829696
"[23, ]",55,0.0878277
"[24, ]",56,0.0123679
"[25, ]",57,0.028759
"[26, ]",62,0.002207
"[27, ]",63,0.0077564
"[28, ]",64,0.0472051
"[29, ]",65,0.0457793
"[30, ]",66,0.0175808
"[31, ]",67,0.0162646
"[32, ]",68,0.0000135
"[33, ]",73,0.0000301
"[34, ]",74,0.0077048
"[35, ]",75,0.0256452
"[36, ]",76,0.0338782
"[37, ]",77,0.0005352
"[38, ]",82,0.0049097
"[39, ]",83,0.0357955
"[40, ]",84,0.0341028
"[41, ]",85,0.0013201
"[42, ]",0,0.0173127
"[43, ]",0,0.000981
"[44, ]",0,0.0007312
"[45, ]",0,0.0227624
