,x,y,z
0, 1.0000000, 1.2080000, 0.9866667
0.012, 1.0000000, 1.4160000, 0.9733333
0.024, 1.0000000, 1.6240000, 0.9600000
0.036, 1.0000000, 1.8320000, 0.9466667
0.048, 1.0000000, 2.0400000, 0.9333333
0.06, 1.0000000, 2.2480000, 0.9200000
0.072, 1.0000000, 2.4560000, 0.9066667
0.084, 1.0000000, 2.6640000, 0.8933333
0.096, 1.0000000, 2.8720000, 0.8800000
0.108, 1.0000000, 3.0800000, 0.8666667
0.12, 1.0000000, 3.2880000, 0.8533333
0.132, 1.0000000, 3.4960000, 0.8400000
0.144, 1.0000000, 3.7040000, 0.8266667
0.156, 1.0000000, 3.9120000, 0.8133333
0.168, 1.0000000, 4.1200000, 0.8000000
0.18, 1.0000000, 4.3280000, 0.7866667
0.192, 1.0000000, 4.5360000, 0.7733333
0.204, 1.0000000, 4.7440000, 0.7600000
0.216, 1.0000000, 4.9520000, 0.7466667
0.228, 1.0000000, 5.1600000, 0.7333333
0.24, 1.0000000, 5.3680000, 0.7200000
0.252, 1.0000000, 5.5760000, 0.7066667
0.264, 1.0000000, 5.7840000, 0.6933333
0.276, 1.0000000, 5.9920000, 0.6800000
0.288, 1.0000000, 6.2000000, 0.6666667
0.3, 1.0000000, 6.4080000, 0.6533333
0.312, 1.0000000, 6.6160000, 0.6400000
0.324, 1.0000000, 6.8240000, 0.6266667
0.336, 1.0000000, 7.0320000, 0.6133333
0.348, 1.0000000, 7.2400000, 0.6000000
0.36, 1.0000000, 7.4480000, 0.5866667
0.372, 1.0000000, 7.6560000, 0.5733333
0.384, 1.0000000, 7.8640000, 0.5600000
0.396, 1.0000000, 8.0720000, 0.5466667
0.408, 1.0000000, 8.2800000, 0.5333333
0.42, 1.0000000, 8.4880000, 0.5200000
0.432, 1.0000000, 8.6960000, 0.5066667
0.444, 1.0000000, 8.9040000, 0.4933333
0.456, 1.0000000, 9.1120000, 0.4800000
0.468, 1.0000000, 9.3200000, 0.4666667
0.48, 1.0000000, 9.5280000, 0.4533333
0.492, 1.0000000, 9.7360000, 0.4400000
0.504, 1.0000000, 9.9440000, 0.4266667
0.516, 1.0000000, 10.1520000, 0.4133333
0.528, 1.0000000, 10.3600000, 0.4000000
0.54, 1.0000000, 10.5680000, 0.3866667
0.552, 1.0000000, 10.7760000, 0.3733333
0.564, 1.0000000, 10.9840000, 0.3600000
0.576, 1.0000000, 11.1920000, 0.3466667
0.588, 1.0000000, 11.4000000, 0.3333333
0.6, 1.0000000, 11.6080000, 0.3200000
0.612, 1.0000000, 11.8160000, 0.3066667
0.624, 1.0000000, 12.0240000, 0.2933333
0.636, 1.0000000, 12.2320000, 0.2800000
0.648, 1.0000000, 12.4400000, 0.2666667
0.66, 1.0000000, 12.6480000, 0.2533333
0.672, 1.0000000, 12.8560000, 0.2400000
0.684, 1.0000000, 13.0640000, 0.2266667
0.696, 1.0000000, 13.2720000, 0.2133333
0.708, 1.0000000, 13.4800000, 0.2000000
0.72, 1.0000000, 13.6880000, 0.1866667
0.732, 1.0000000, 13.8960000, 0.1733333
0.744, 1.0000000, 14.1040000, 0.1600000
0.756, 1.0000000, 14.3120000, 0.1466667
0.768, 1.0000000, 14.5200000, 0.1333333
0.78, 1.0000000, 14.7280000, 0.1200000
0.792, 1.0000000, 14.9360000, 0.1066667
0.804, 1.0000000, 15.1440000, 0.0933333
0.816000000000001, 1.0000000, 15.3520000, 0.0800000
0.828000000000001, 1.0000000, 15.5600000, 0.0666667
