"compoundA","compoundB","correlation","pValue"
"Betaine","Mannitol",0.822535499973765,0.00102055729613193
"4-Hydroxybenzoic acid","Mannitol",0.843432478695338,0.000566150451025926
"Fumaric acid","Mannitol",0.76781761390195,0.00354412052310304
"Acetoacetic acid","Mannitol",-0.727697001901755,0.00730374655957511
"L-Methionine","Mannitol",0.769146290851584,0.00345223085205482
"Citric acid","Mannitol",-0.700900960509127,0.0111080681108415
"Uracil","Mannitol",0.846400757304467,0.000517191112034299
"L-2-Hydroxyglutaric acid","Mannitol",0.635718424283545,0.0262965045288897
"Pyridoxal","Mannitol",-0.689959606959929,0.0130231760405879
"3-Dehydroshikimate","Mannitol",0.582856324501055,0.0467063666121139
"L-Phenylalanine","Mannitol",0.640139246981958,0.0249507234377642
"Butyric acid","Mannitol",-0.652899279086941,0.0213464593623547
"Guanine","Mannitol",0.717236029590032,0.00864874337525667
"D-Cathine","Mannitol",0.69693962295954,0.0117754607322877
"Dihydrouracil","Mannitol",-0.589836389166231,0.0435212704695067
"D-Phenyllactic acid","Mannitol",0.58961319693721,0.0436206663901539
"Riboflavin","Mannitol",-0.661740522888231,0.0190825142966857
"Niacinamide","Mannitol",0.650762428125599,0.0219217697136211
"Palmitic acid","Mannitol",0.600490519357592,0.0389607282285382
"D-Mannose","Mannitol",0.750390737179203,0.00492942577447364
"p-Hydroxyphenylacetic acid","Mannitol",0.606872374881857,0.0363978957246269
"Phenylethylamine","Mannitol",0.74148999433691,0.00577773822913707
"Mesaconate","Mannitol",-0.616661145108344,0.0327041606613923
"D-Xylose","Mannitol",-0.674867883050529,0.0160520301026845
"L-Leucine","Mannitol",0.730354357564653,0.00698862272434164
"D-Glucose","Mannitol",-0.741070133377014,0.00582029812228058
"Cellobiose","Mannitol",-0.597369062539098,0.0402598871879891
"L-Tyrosine","Mannitol",0.805399771695618,0.00156912595663394
"4-Hydroxybenzoic acid","Betaine",0.875025217627158,0.000193949501991586
"Fumaric acid","Betaine",0.892220544139503,9.53403490917548e-05
"Acetoacetic acid","Betaine",-0.681647660683664,0.0146335160922837
"L-Methionine","Betaine",0.89577460431463,8.11231306241389e-05
"Citric acid","Betaine",-0.599308813192224,0.039448995349638
"Uracil","Betaine",0.93863499900911,6.17889109277847e-06
"L-2-Hydroxyglutaric acid","Betaine",0.608062702537015,0.0359335525359321
"Pyridoxal","Betaine",-0.615585449843498,0.0330963136674436
"Guanidoacetic acid","Betaine",-0.577988733465731,0.049022516989917
"L-Phenylalanine","Betaine",0.778200221754946,0.00287332148857056
"Guanine","Betaine",0.863633432026902,0.000294063987213988
"D-Phenyllactic acid","Betaine",0.794280886988369,0.0020305321294467
"Riboflavin","Betaine",-0.581798470329039,0.0472030232472902
"Niacinamide","Betaine",0.887474489929302,0.00011729159624041
"D-Mannose","Betaine",0.812442484446905,0.00132162043533834
"Phenylethylamine","Betaine",0.812997803107003,0.00130346813922899
"D-Xylose","Betaine",-0.619128021216669,0.0318174428342299
"Guanosine","Betaine",0.615911617938944,0.0329770524213009
"D-Glucose","Betaine",-0.608584457095014,0.0357313575330966
"Fumaric acid","4-Hydroxybenzoic acid",0.961644350485045,6.1295694120389e-07
"Acetoacetic acid","4-Hydroxybenzoic acid",-0.875213454515214,0.000192556658973775
"L-Methionine","4-Hydroxybenzoic acid",0.920119658438545,2.23735731268437e-05
"Citric acid","4-Hydroxybenzoic acid",-0.793974622139105,0.00204456035508493
"Uracil","4-Hydroxybenzoic acid",0.939985186480189,5.54114444417664e-06
"L-2-Hydroxyglutaric acid","4-Hydroxybenzoic acid",0.806027762760502,0.00154571498498246
"Pyridoxal","4-Hydroxybenzoic acid",-0.78090853818115,0.00271546101857201
"3-Dehydroshikimate","4-Hydroxybenzoic acid",0.644287811156695,0.0237339038959541
"6-Phosphogluconic acid","4-Hydroxybenzoic acid",-0.666658349221444,0.0179020731275135
"Guanidoacetic acid","4-Hydroxybenzoic acid",-0.741942570300004,0.00573212505981879
"L-Phenylalanine","4-Hydroxybenzoic acid",0.866725705955111,0.000263628743152111
"Alpha-D-Glucose","4-Hydroxybenzoic acid",-0.694623686705376,0.0121791576967762
"Butyric acid","4-Hydroxybenzoic acid",-0.63673548410744,0.0259823494434457
"Guanine","4-Hydroxybenzoic acid",0.835256628187932,0.000719719311591316
"D-Cathine","4-Hydroxybenzoic acid",0.740976565990957,0.00582981481219313
"D-Phenyllactic acid","4-Hydroxybenzoic acid",0.820239418587154,0.00108385265518729
"Riboflavin","4-Hydroxybenzoic acid",-0.649742460925159,0.0222003227944543
"Niacinamide","4-Hydroxybenzoic acid",0.822471436729995,0.00102228370027246
"Palmitic acid","4-Hydroxybenzoic acid",0.624412004784568,0.0299764111400873
"D-Mannose","4-Hydroxybenzoic acid",0.850975262872087,0.000448238762893016
"3-Methylindole","4-Hydroxybenzoic acid",0.705278379687172,0.0104037048424437
"Phenylethylamine","4-Hydroxybenzoic acid",0.824290205487028,0.000974138129543611
"Mesaconate","4-Hydroxybenzoic acid",-0.730755376477237,0.00694196875521325
"D-Xylose","4-Hydroxybenzoic acid",-0.802366994474731,0.00168604088898805
"Guanosine","4-Hydroxybenzoic acid",0.760380878036476,0.0040931997288518
"gamma-Aminobutyric acid","4-Hydroxybenzoic acid",-0.715346330770335,0.00891017255346638
"Cellobiose","4-Hydroxybenzoic acid",-0.728611328477218,0.00719414314701838
"L-Tyrosine","4-Hydroxybenzoic acid",0.598514611342838,0.0397795853171257
"Acetoacetic acid","Fumaric acid",-0.844762971823928,0.00054378018653134
"L-Methionine","Fumaric acid",0.947565139222837,2.85768299557176e-06
"Citric acid","Fumaric acid",-0.759387750355529,0.0041711336830681
"Uracil","Fumaric acid",0.904221812764669,5.39467301212682e-05
"L-2-Hydroxyglutaric acid","Fumaric acid",0.800801477681677,0.00174894673574921
"Pyridoxal","Fumaric acid",-0.726157725830946,0.00749108645819518
"6-Phosphogluconic acid","Fumaric acid",-0.665992007496082,0.018058795430856
"Guanidoacetic acid","Fumaric acid",-0.712906820294591,0.00925633438561269
"L-Phenylalanine","Fumaric acid",0.915457454745297,2.94733253602963e-05
"Alpha-D-Glucose","Fumaric acid",-0.713455111589862,0.00917767378928813
"Butyric acid","Fumaric acid",-0.582806171998779,0.0467298293523988
"Guanine","Fumaric acid",0.908254570221577,4.38107650286845e-05
"D-Phenyllactic acid","Fumaric acid",0.89576797934444,8.11479835602924e-05
"Riboflavin","Fumaric acid",-0.581376438860178,0.047402199306962
"Niacinamide","Fumaric acid",0.866264516727993,0.000268004749579998
