x,y,cluster
1.79422,4.73906,11
0.307813,4.79473,8
-0.426644,7.56956,12
1.34128,6.20609,9
1.80886,4.592,10
0.622926,3.83925,8
-0.603235,7.50211,12
1.13327,4.7406,10
1.70622,5.53992,10
0.366981,7.63482,9
2.14762,2.56981,8
1.46536,-1.0902,11
2.52609,3.60481,8
1.33864,6.37677,12
1.10569,4.09798,10
1.72833,6.37872,9
2.72122,0.605363,3
0.284638,7.35666,12
2.92359,-1.16895,3
1.19025,3.85442,8
1.26427,6.42518,10
2.76289,1.78854,5
3.06317,-0.454286,3
-1.70832,7.42563,8
3.42154,-0.207821,3
3.33172,0.683266,3
3.77353,0.773225,3
2.60117,-1.46284,7
3.77209,2.51379,2
1.18654,5.93219,8
2.373,-1.50384,7
0.119214,-5.14885,7
2.71228,0.0354025,3
0.748154,4.13137,10
1.70863,3.28787,8
3.40537,-0.297032,3
2.79945,0.950673,3
2.77055,-0.855425,3
0.816025,-4.67336,7
3.35774,-0.363061,3
2.36817,4.83835,8
1.03682,5.81449,12
2.52235,-1.61671,3
0.0255483,-4.66653,4
4.26862,1.97736,2
0.0874426,-5.77551,7
-1.13208,1.2923,5
0.48781,-5.52134,7
2.74423,-1.07782,3
3.12953,3.70935,2
1.47791,1.82548,6
1.04229,-2.16022,4
3.64612,2.61559,2
5.5727,4.85802,7
-0.659437,-5.74056,4
-1.07316,-4.15206,4
-1.40215,6.30165,9
-0.766486,6.833,12
-0.777045,-3.53956,4
-1.21589,-5.06054,4
-0.65382,-4.50565,4
-1.41103,-5.00394,4
-1.53302,-5.36487,4
-0.340535,-2.77514,2
-1.44057,-4.82371,4
0.0991647,-2.92414,7
-1.49242,-5.32444,4
-1.06289,-3.80383,4
-1.28085,-5.05092,4
1.63203,2.60394,6
-1.41946,-5.32951,4
1.03739,-2.86118,6
-0.34447,5.82141,8
-1.45622,3.77325,8
-0.2075,2.09665,5
0.789371,-3.66483,4
-1.09793,2.16342,7
-1.45539,6.98467,8
-1.98695,3.17084,13
-1.37885,-4.6271,4
4.05218,-2.726,7
4.6442,-3.05992,1
4.3471,-3.68602,1
4.52833,-2.96683,1
2.40355,2.95714,2
-1.1687,5.45225,12
5.19588,-3.32352,1
4.28893,-4.35962,1
0.0639788,-5.72206,7
-0.657675,7.45449,12
3.88699,2.49239,2
-0.377762,-4.3996,4
1.82628,3.86466,10
0.368798,-5.39338,7
-1.56551,7.43364,8
5.06106,-3.49645,1
4.38109,-4.23185,1
0.400315,-5.39375,7
-0.166657,6.53836,8
5.26434,-3.57258,1
-0.0583835,-5.64208,4
4.4992,0.858765,2
0.327752,6.87293,12
0.160714,-4.81664,4
-0.455672,3.75047,10
1.1879,4.32836,8
2.58201,2.64909,3
-0.576383,6.56254,11
-0.54129,-3.47137,4
-0.850598,7.53438,9
0.432513,-5.11043,7
-0.0158799,-4.1809,4
-0.118458,7.20592,9
2.46705,4.66013,11
-0.36591,-4.43865,4
5.41333,-3.67691,1
0.356842,-4.90366,4
5.08473,-3.80968,1
-2.00444,2.96955,13
1.62913,5.89423,10
-1.29295,-4.98338,4
1.15386,-2.55605,6
-0.48395,-2.56073,5
0.163464,7.15508,9
2.21032,-0.347232,2
3.33371,-0.484044,3
-1.64295,0.676739,5
2.07585,4.98435,10
-1.66888,3.80219,13
-0.0519545,4.33215,8
-0.220966,4.23325,8
-1.41332,6.02274,11
0.681827,-5.04744,7
-2.67782,4.84913,9
1.205,-1.40488,6
-3.40558,4.14464,11
3.62183,-3.13787,1
-0.823054,6.85164,8
2.87621,4.1152,10
-3.38892,3.93665,11
-0.248682,1.35197,5
-4.07181,3.39261,11
-1.09311,7.43486,9
0.606224,6.63536,12
-3.94536,2.28623,11
-4.24587,3.34019,11
1.62676,5.05677,10
-3.95209,1.94076,11
-1.04412,6.27749,9
-1.01952,6.5689,9
1.51846,3.36465,10
-3.28791,4.03646,11
-0.283662,7.30714,9
-0.5683,4.94102,9
0.566572,7.29351,12
-4.00259,2.40529,11
1.35126,4.28549,10
1.75912,4.7337,10
1.34856,3.72679,10
1.4472,4.56158,8
1.84258,2.95824,10
1.50294,5.71202,10
1.54074,3.768,10
0.940827,4.99721,8
1.71051,4.34312,10
-0.196707,6.16616,12
-2.00505,0.975465,8
2.80771,2.75586,3
2.57476,-0.369163,7
4.02586,1.69005,3
3.22056,1.13196,3
2.94425,2.55962,3
1.48136,3.72059,8
1.3526,5.88647,9
-0.76208,4.36677,9
2.06038,-0.62432,3
1.46386,6.26581,8
0.956048,6.90637,9
-0.294896,4.43699,5
0.391265,7.42249,9
1.12326,3.90354,10
0.864974,-1.36901,4
2.71543,-0.641449,3
0.0199383,6.70974,12
-0.230922,-4.27911,4
-0.218538,-6.06151,7
-0.669408,-5.73529,4
3.26191,2.82348,3
-0.331487,-5.32314,4
0.820847,5.15902,9
0.791458,-2.25485,4
1.62894,3.01094,11
0.234692,-3.12031,4
