,dimension_1,dimension_2
item_1,-3.67372,-8.37266
item_2,2.91991,-13.9399
item_3,-1.64719,12.3961
item_4,-4.63242,11.5727
item_5,-4.69518,12.1111
item_6,4.97149,-13.0721
item_7,4.27408,3.31132
item_8,-4.46053,-11.1345
item_9,4.42736,3.44638
item_10,-2.67946,12.0209
item_11,-4.19067,-9.82498
item_12,-5.63333,-17.4333
item_13,2.6117,-12.8732
item_14,17.1415,-0.25039
item_15,4.12663,3.25083
item_16,-5.3905,11.5734
item_17,4.86695,-12.9245
item_18,-4.35916,-11.2293
item_19,17.1341,-0.460993
item_20,-5.72353,11.7566
item_21,-1.43021,12.2681
item_22,3.10125,-13.8579
item_23,-5.9472,11.989
item_24,-4.85198,11.5878
item_25,-4.10657,-9.76124
item_26,4.25905,-12.8169
item_27,-2.77844,12.1487
item_28,2.37106,-12.4762
item_29,-5.29364,11.5507
item_30,-5.99451,11.4738
item_31,2.46111,-13.1852
item_32,-4.45066,-11.3458
item_33,17.3276,-0.121102
item_34,-5.15014,11.6876
item_35,3.49528,-13.8928
item_36,-5.63298,-17.4181
item_37,17.0159,-0.0746484
item_38,2.96527,-14.0709
item_39,-5.30539,12.203
item_40,17.0284,-0.311722
item_41,4.36906,3.16377
item_42,-4.14409,-10.3717
item_43,-5.75731,11.4152
item_44,-5.73967,11.8677
item_45,2.70361,-12.8027
item_46,-6.07562,11.6469
item_47,2.6547,-12.8865
item_48,-5.60431,-17.3585
item_49,-3.68297,-8.91768
item_50,-4.08947,-10.0552
item_51,-3.93756,-9.26853
item_52,3.13009,-14.0968
item_53,-5.24116,11.5503
item_54,-6.07968,11.9514
item_55,-2.17976,11.7376
item_56,-4.3373,-11.3447
item_57,2.84822,-13.8268
item_58,-5.70937,11.92
item_59,-1.44042,12.206
item_60,-4.69967,11.4963
item_61,-1.6285,12.4583
item_62,-6.13707,11.9744
item_63,17.2901,-0.154402
item_64,3.21203,-13.7533
item_65,-1.89298,12.4118
item_66,-5.64603,-17.4795
item_67,17.4125,0.125786
item_68,4.67178,3.39848
item_69,2.90044,-14.0835
item_70,2.62588,-13.8574
item_71,4.04219,3.16926
item_72,-5.83284,12.1183
item_73,4.29784,3.16612
item_74,17.2885,-0.205744
item_75,-3.82598,-9.03533
item_76,3.4173,-13.8542
item_77,4.17065,-12.8493
item_78,4.71486,3.3636
item_79,4.80748,3.3436
item_80,-5.73214,11.9389
item_81,-3.50749,-8.70332
item_82,3.30771,-13.7995
item_83,4.14715,-12.811
item_84,17.2126,-0.532541
item_85,-5.21781,11.4397
item_86,-4.38101,-10.9238
item_87,-3.69801,-8.79171
item_88,-5.82618,11.5633
item_89,2.99904,-13.5802
item_90,-2.03262,12.0001
item_91,17.1797,0.0552863
item_92,-5.9973,11.7976
item_93,-1.49117,12.4555
item_94,17.2965,-0.0618023
item_95,-4.37863,-11.2811
item_96,3.37125,-13.9347
item_97,-5.40057,11.9208
item_98,-4.38619,-11.286
item_99,-3.9292,-9.52645
item_100,4.62561,3.04494
item_101,16.9861,-0.264883
item_102,-5.2988,11.7364
item_103,4.31328,3.15549
item_104,-6.08777,12.0954
item_105,3.99462,2.92768
item_106,4.6821,2.94541
item_107,17.2434,-0.229035
item_108,-4.49859,-11.1449
item_109,2.79127,-14.093
item_110,5.88551,-12.7702
item_111,-1.74294,12.4788
item_112,2.8772,-12.7464
item_113,4.30438,3.02584
item_114,4.77702,3.28418
item_115,3.34185,-13.5743
item_116,-2.40916,12.0858
item_117,-2.79474,12.0789
item_118,5.05988,-12.8938
item_119,2.54453,-13.0951
item_120,2.97988,-13.6508
item_121,-5.51926,11.3218
item_122,3.02948,-13.826
item_123,4.38921,-13.0519
item_124,-5.88047,12.1866
item_125,4.67343,3.56081
item_126,-4.21526,-10.2559
item_127,17.3041,-0.426772
item_128,-2.19558,12.3659
item_129,4.50019,2.8532
item_130,17.2216,-0.241213
item_131,2.74954,-12.595
item_132,-6.20588,12.0659
item_133,-3.99189,-9.52547
item_134,-5.19464,11.4285
item_135,4.081,3.35706
item_136,-4.45353,-11.199
item_137,2.45285,-12.8838
item_138,4.69965,2.9516
item_139,-3.6389,-8.69053
item_140,-2.14421,11.6847
item_141,5.21468,-12.7688
item_142,-5.86048,11.4202
item_143,-2.03199,12.0904
item_144,5.73045,-12.8316
item_145,2.61421,-13.1531
item_146,-5.66801,-17.4311
item_147,-4.3329,-11.4811
item_148,16.7431,-0.163778
item_149,-2.2241,11.9368
item_150,2.84065,-12.7632
item_151,4.35056,3.2619
item_152,17.3405,-0.15351
item_153,4.62583,3.43929
item_154,-6.18485,12.1287
item_155,-5.5187,11.619
item_156,17.3253,-0.39915
item_157,4.31549,-13.4304
item_158,-4.38233,-11.1598
item_159,-1.90535,12.5999
item_160,5.00941,-12.9135
item_161,-3.49091,-8.76256
item_162,4.70538,-12.9264
item_163,-2.14442,12.1928
item_164,-2.54286,11.7368
item_165,-1.46416,12.3548
item_166,17.1109,-0.494235
item_167,-2.17177,12.5555
item_168,-5.61436,11.5363
item_169,-5.94506,11.9609
item_170,2.92976,-13.7768
item_171,-1.44691,12.1801
item_172,5.28415,-13.0755
item_173,-5.31531,11.6427
item_174,-5.70621,-17.5178
item_175,4.47105,3.4492
item_176,-5.68965,-17.4937
item_177,-2.31943,12.5135
item_178,4.61499,3.17555
item_179,3.42493,-13.608
item_180,-4.64507,-11.2335
item_181,4.04742,-13.1273
item_182,2.99409,-12.877
item_183,-3.89769,-8.49758
item_184,-5.41191,12.1581
item_185,4.1977,3.29362
item_186,-5.64238,11.8305
item_187,17.2325,-5.58491E-05
item_188,4.51037,-13.1917
item_189,3.03834,-12.7551
item_190,5.78121,-12.7906
item_191,4.06034,-13.0779
item_192,-5.65921,-17.4927
item_193,3.09073,-13.4978
item_194,-5.59127,11.5829
item_195,-1.49761,12.2688
item_196,-5.88523,11.6448
item_197,-2.58751,11.9629
item_198,-4.36939,-11.3846
item_199,2.51416,-13.1587
item_200,5.73445,-12.7955
item_201,4.1467,3.5021
item_202,-4.70678,11.5536
item_203,-4.53078,-11.1264
item_204,-4.54107,-11.0041
item_205,17.1747,-0.0939932
item_206,-3.9881,11.6958
item_207,2.90905,-14.0377
item_208,-4.40603,-11.1893
item_209,4.34182,3.25411
item_210,3.19744,-13.9301
item_211,2.45329,-13.0718
item_212,4.17065,3.11893
item_213,4.25755,3.18853
item_214,5.06913,-12.7683
item_215,-4.63226,11.5895
item_216,-4.26582,-10.7086
item_217,2.74598,-14.1198
item_218,-2.18615,12.4543
item_219,17.3101,0.172231
item_220,-5.62046,-16.938
item_221,4.75212,-13.0641
item_222,17.3606,-0.103517
item_223,-1.79848,12.3415
item_224,-5.89527,11.446
item_225,5.04746,-13.2699
item_226,-4.41514,-11.2159
item_227,-3.1297,12.0618
item_228,-5.89084,11.5519
item_229,2.87325,-13.195
item_230,3.04614,-14.1784
item_231,-5.4199,11.9162
item_232,4.86553,2.95975
item_233,3.22625,-13.7297
item_234,4.56702,-12.9249
item_235,2.74641,-13.2764
item_236,-4.30236,-10.7714
item_237,-5.54417,-17.0868
item_238,-2.35234,12.3472
item_239,16.9947,-0.00572998
item_240,-5.59841,-17.179
item_241,4.30859,3.02989
item_242,17.1896,-0.148501
item_243,-4.05149,-10.0353
item_244,-5.61434,11.5155
item_245,-3.61559,-8.7386
item_246,-4.30084,-11.2524
item_247,2.90472,-13.5823
item_248,-5.91613,11.4463
item_249,4.07081,3.34857
item_250,2.94197,-14.0031
item_251,2.62572,-13.0025
item_252,4.3981,3.29212
item_253,4.62358,-13.0194
item_254,5.03802,-12.977
item_255,-3.97342,-9.63611
item_256,-4.29086,-10.9192
item_257,16.8636,-0.21979
item_258,-1.97381,11.9717
item_259,-5.78981,11.5789
item_260,-5.57792,-17.3338
item_261,2.85821,-13.8563
item_262,17.1617,0.00424478
item_263,-4.11141,-9.04842
item_264,-6.13603,11.8907
item_265,-1.44107,12.631
item_266,-4.64606,-11.3402
item_267,-3.42558,-8.62547
item_268,-2.32751,12.2035
item_269,-5.58201,11.518
item_270,4.67105,3.37622
item_271,4.63932,3.09646
item_272,-1.86318,12.0349
item_273,-1.5557,12.4555
item_274,-5.7028,-17.2904
item_275,17.1738,-0.488471
item_276,-2.04238,11.8717
item_277,4.40008,3.23155
item_278,5.10006,-12.9058
item_279,17.4584,-0.286668
item_280,-4.5399,-11.0401
item_281,-5.77518,11.9782
item_282,-4.68981,-11.4153
item_283,-1.84829,12.6402
item_284,3.00102,-13.7446
item_285,-3.46635,-8.41599
item_286,-2.32798,12.2452
item_287,17.2365,-0.491787
item_288,-5.6725,-17.1851
item_289,-4.92423,11.708
item_290,-1.70977,11.8395
item_291,4.70436,3.02577
item_292,-4.27575,-10.6526
item_293,-2.50476,11.9346
item_294,3.24575,-13.6226
item_295,-1.63187,12.2603
item_296,-4.42601,-11.2565
item_297,2.82349,-13.8432
item_298,-2.15753,12.2641
item_299,2.6428,-13.1258
item_300,17.0486,-0.0664322
item_301,-4.07874,-9.73308
item_302,-6.04359,11.8735
item_303,16.902,0.0528027
item_304,3.34736,-13.6972
item_305,-2.66211,11.6968
item_306,-5.655,11.6243
item_307,-3.50919,-8.52594
item_308,-5.88826,11.6178
item_309,4.26052,-12.8568
item_310,4.87543,3.10984
item_311,4.21394,3.0068
item_312,17.0572,-0.387455
item_313,-3.69892,-8.617
item_314,-5.82762,11.6556
item_315,-2.04291,12.1893
item_316,4.86512,2.92699
item_317,-3.68235,-8.35238
item_318,4.53207,-13.2397
item_319,4.91914,-13.1893
item_320,-5.90193,11.4264
item_321,2.85163,-13.8989
item_322,-4.3386,-10.9822
item_323,-1.74057,11.9158
item_324,16.9323,-0.147062
item_325,-5.6392,11.6506
item_326,4.23414,-13.0984
item_327,3.07777,-13.7715
item_328,-4.49098,-11.4213
item_329,-3.77702,-8.59967
item_330,-2.08576,12.1235
item_331,-3.95496,-8.8754
item_332,17.3097,-0.0849261
item_333,-3.70965,-8.38185
item_334,-4.11993,-10.0595
item_335,-1.74156,12.499
item_336,-5.58953,-17.197
item_337,-2.26354,11.983
item_338,-5.89941,11.6948
item_339,-2.00784,12.1934
item_340,5.26101,-12.9469
item_341,-2.52001,12.3081
item_342,-4.30286,-11.0611
item_343,-2.26047,12.2867
item_344,-4.38531,-11.2887
item_345,-1.92856,12.5642
item_346,5.00389,3.05641
item_347,-4.37058,-10.847
item_348,5.24239,-12.9763
item_349,-3.82166,-9.24332
item_350,-5.36534,11.7706
item_351,-1.47516,11.9776
item_352,4.76512,3.24484
item_353,-3.64547,-8.85085
item_354,-5.61001,11.71
item_355,-2.18177,11.7113
item_356,4.95819,3.11365
item_357,-3.91762,-9.64226
item_358,4.84457,2.96487
item_359,4.30882,3.13455
item_360,3.22923,-13.4358
item_361,4.64556,-13.3008
item_362,-4.01687,-10.2066
item_363,-3.32228,12.0996
item_364,-2.10208,12.0838
item_365,-2.40118,12.0537
item_366,4.58984,-12.7415
item_367,4.37178,3.1458
item_368,17.3206,-0.325396
item_369,-4.55381,-11.3582
item_370,-2.04819,11.8828
item_371,4.47279,3.20173
item_372,-5.41124,11.6379
item_373,-2.22176,12.3288
item_374,-1.95124,12.0236
item_375,-1.49339,11.8546
item_376,5.12772,-13.2217
item_377,-3.63624,-8.58104
