,dimension_1,dimension_2,dimension_3
item_1,-0.247868,0.0467902,3.20121
item_2,3.4759,-0.543536,5.47639
item_3,0.503102,-1.32684,-5.49661
item_4,-3.06753,-5.45506,0.648092
item_5,1.12051,0.4889,-4.37059
item_6,3.17453,3.44153,2.7541
item_7,-6.79541,-2.84818,2.54552
item_8,-0.164397,2.08601,4.48676
item_9,-6.93267,-3.68744,2.29089
item_10,0.175225,1.20278,-5.32957
item_11,-0.775133,1.58751,4.89273
item_12,1.09871,-1.53228,1.77343
item_13,-1.23758,0.659288,4.91415
item_14,-5.05916,1.75578,-1.63362
item_15,-6.60769,-3.16439,1.64988
item_16,2.62606,1.95184,-4.91984
item_17,2.60004,2.8846,2.46588
item_18,-0.946718,3.13815,2.44876
item_19,-4.51691,1.20207,-1.0062
item_20,1.54711,1.98337,-4.5041
item_21,0.799405,-2.41004,-5.54823
item_22,3.71748,-0.358047,5.36409
item_23,1.01931,1.74444,-4.76288
item_24,-2.96779,-5.58524,0.646032
item_25,0.211792,0.452008,4.23444
item_26,1.79617,3.68748,2.0933
item_27,1.2388,0.0911586,-4.18524
item_28,-0.40632,1.22206,4.67882
item_29,3.51436,1.10415,-4.49953
item_30,2.24116,2.46236,-4.76677
item_31,-1.4933,0.240832,4.27574
item_32,-0.881057,3.65394,2.35321
item_33,-4.79968,1.37379,-1.66922
item_34,2.37271,2.15566,-4.69517
item_35,2.93278,0.0269777,5.14316
item_36,1.07893,-1.45521,1.92006
item_37,-4.25238,1.43465,-1.07529
item_38,2.95152,-0.0634891,5.16454
item_39,2.51149,-0.555552,-3.58877
item_40,-4.66991,1.51563,-1.60645
item_41,-6.83776,-3.49162,1.64355
item_42,-1.12654,2.37571,2.879
item_43,2.80259,0.299061,-3.62262
item_44,1.65479,1.67502,-4.19738
item_45,-1.73151,1.24293,4.04879
item_46,1.48726,0.717273,-4.52521
item_47,-1.15307,1.49671,2.58968
item_48,0.547783,-0.838214,1.90006
item_49,-1.58592,1.1709,4.16
item_50,-0.463029,1.68906,4.67702
item_51,-0.491703,0.474541,4.99307
item_52,3.86107,-0.731866,5.55382
item_53,3.244,-0.104016,-4.48224
item_54,1.10907,1.82265,-4.53298
item_55,1.27241,0.126676,-4.82154
item_56,-0.723846,2.85665,2.03041
item_57,4.08332,-1.92479,5.4346
item_58,1.55217,1.5938,-4.61186
item_59,0.936075,-1.81019,-5.18409
item_60,-3.35931,-5.31271,0.801654
item_61,0.663232,-2.50655,-5.42656
item_62,0.154429,1.46012,-4.78201
item_63,-4.44444,1.41067,-0.762366
item_64,3.92785,-0.514665,5.53565
item_65,0.116936,-1.2496,-5.04776
item_66,1.16835,-1.56434,1.74
item_67,-4.83969,1.83977,-1.08565
item_68,-4.83801,-4.59782,1.83139
item_69,4.62388,-2.10196,5.61064
item_70,2.72062,-0.863465,5.28798
item_71,-6.62398,-2.81988,2.37745
item_72,2.49695,2.20346,-4.8359
item_73,-6.59051,-3.59253,2.38197
item_74,-4.92966,1.67362,-1.36372
item_75,-1.50653,1.1393,4.44489
item_76,3.32079,-0.121453,5.36886
item_77,1.31073,3.19929,1.84372
item_78,-4.14087,-5.02654,1.53507
item_79,-3.95394,-4.82694,1.09916
item_80,2.3357,2.44214,-4.77554
item_81,-0.448408,-0.181895,4.4252
item_82,3.11625,-0.399913,5.45408
item_83,2.69197,2.64893,2.80062
item_84,-5.12283,1.67069,-1.51572
item_85,3.48657,0.0438889,-4.1784
item_86,-0.90012,2.40056,3.02155
item_87,-1.27877,0.110663,4.79465
item_88,1.72591,1.41132,-5.17014
item_89,3.86929,-1.83118,5.61373
item_90,0.0992,1.04264,-5.57006
item_91,-5.18482,1.51264,-1.65699
item_92,2.93983,1.43931,-4.93423
item_93,0.612559,-1.76124,-4.83532
item_94,-5.0821,1.68513,-1.4469
item_95,-1.00567,2.67155,2.38852
item_96,3.07867,-0.74802,5.50543
item_97,2.90536,0.335538,-3.57226
item_98,-0.867377,2.94653,2.38984
item_99,-1.17683,1.38721,4.79638
item_100,-3.99701,-5.14764,0.786118
item_101,-0.204816,-0.578958,1.80876
item_102,3.00474,0.296178,-4.87986
item_103,-7.49638,-3.45397,2.08581
item_104,3.01536,1.31024,-4.69529
