proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\base.vb,67,23,8,36,1,0,0,2,0,2413,2.41 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\DataModes.vb,5,0,0,5,1,0,0,0,0,68,68 B
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\zzz.vb,6,0,1,5,1,0,1,0,0,101,101 B
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\base\HDF5utils.vb,32,0,3,29,1,0,0,2,0,1248,1.25 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\base\HDSutils.vb,281,56,40,185,1,0,1,10,0,10539,10.54 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\base\IO.vb,161,20,15,126,2,0,0,4,0,6624,6.62 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\base\netCDFutils.vb,241,28,34,179,1,0,1,10,0,9637,9.64 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2770,2.77 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\buffer.vb,253,42,32,179,1,0,0,10,0,9461,9.46 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\console.vb,126,25,19,82,1,0,1,6,0,4394,4.39 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\dataframe.vb,710,97,86,527,1,0,1,27,0,27330,27.33 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\JSON.vb,261,79,27,155,1,0,0,7,0,10195,10.20 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\jsonlite.vb,221,147,9,65,1,0,0,5,0,12266,12.27 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\stringr.vb,220,42,32,146,3,0,1,9,0,8123,8.12 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\utils.vb,470,110,42,318,1,0,1,10,0,20418,20.42 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,base\utils\xlsx.vb,252,42,23,187,1,0,0,7,0,10404,10.40 KB
D:\GCModeller\src\R-sharp\Library\base\base.NET5.vbproj,<project>,3369,734,379,2256,19,2,7,109,0,135991,135.99 KB
D:\GCModeller\src\R-sharp\Library\graphics\graphics.NET5.vbproj,graphics\ColorBrewer.vb,221,51,41,129,1,0,0,36,0,7439,7.44 KB
D:\GCModeller\src\R-sharp\Library\graphics\graphics.NET5.vbproj,graphics\grDevices.vb,512,116,51,345,1,0,0,12,0,21689,21.69 KB
