"","compoundA","compoundB","correlation","fdr"
"170","Glycine","Alanine",0.934740539096346,8.34902732682608e-06
"171","Succinic acid","Alanine",0.933392615982484,9.22634416822277e-06
"176","Serine","Alanine",0.916665120939674,2.74846034014065e-05
"177","Threonine","Alanine",0.895730995623537,8.12868341710793e-05
"210","myo-inositol","Alanine",-0.752280826365997,0.00476211581278463
"216","Galactosylglycerol","Alanine",-0.724659642651669,0.00767684787148282
"329","Threonine","Oxalic acid ",-0.710263019082879,0.00964270635384068
"335","Salicylic acid","Oxalic acid ",0.807868208567159,0.00147864659038444
"394","Phosphoric acid","Heptanoic acid",0.735799688207529,0.00637486703345047
"467","Ethanolamine","Monomethyl phosphate",0.76698420165269,0.00360269854173478
"470","Phosphoric acid","Monomethyl phosphate",0.79426800516139,0.00203112068369093
"476","Glyceric acid","Monomethyl phosphate",0.749243302660482,0.00503313872883426
"478","Fumaric acid","Monomethyl phosphate",0.822840950640278,0.0010123567645941
"486","Adipic acid","Monomethyl phosphate",0.726983982524153,0.00739008361141513
"510","Tyrosine","Monomethyl phosphate",-0.770786123765846,0.00334133021548455
"513","Glucaric acid","Monomethyl phosphate",0.755224158923586,0.00451016224398804
"544","Leucine","Valine",0.901433439035387,6.19704453082015e-05
"547","Isoleucine","Valine",0.93342500553823,9.20444299001844e-06
"566","Pyroglutamate","Valine",0.909888300935318,4.01595915762165e-05
"572","Asparagine","Valine",0.888380225199763,0.000112824210868112
"573","Arabinose","Valine",0.761592451474012,0.00399962323087388
"576","Glutamine","Valine",0.918711257854391,2.43576966858505e-05
"578","Shikimic acid","Valine",-0.859738754533489,0.000336214250034494
"579","Citric acid","Valine",0.771580866371234,0.00328856685382029
"584","Lysine","Valine",0.958981757724132,8.53516098020535e-07
"586","Tyrosine","Valine",0.738340324588691,0.00610279402318525
"593","9-(Z)-Octadecenoic acid","Valine",-0.725150990849296,0.00761554508748064
"668","Caffeic acid","Urea",0.885728947645694,0.000126291153351499
"683","3-trans-Caffeoylquinic acid","Urea",0.943838227761462,4.0027920549246e-06
"697","Glycerol","Benzoic acid",0.704383530638867,0.0105449130785633
"705","Itaconic acid","Benzoic acid",0.821447739793711,0.00105017743613045
"707","Nonanoic acid","Benzoic acid",0.718187436398887,0.00851931165289055
"711","beta-Alanine","Benzoic acid",0.884681490670158,0.000131945404495681
"712","Putrescine","Benzoic acid",0.882239174086052,0.000145899559615525
"729","Azelaic acid","Benzoic acid",0.91176661873934,3.62622841585392e-05
"740","Hexadecanoic acid","Benzoic acid",0.733276333113703,0.00665401578540936
"751","1-Monohexadecanoylglycerol","Benzoic acid",0.851260491933087,0.000444189262034822
"772","Leucine","Ethanolamine",-0.827177054446124,0.000901331050096932
"774","Phosphoric acid","Ethanolamine",0.763968357326923,0.0038208348576223
"775","Isoleucine","Ethanolamine",-0.846025844852701,0.000523186731526071
"780","Glyceric acid","Ethanolamine",0.776184392096758,0.00299528360512857
"800","Asparagine","Ethanolamine",-0.735709068074623,0.00638473686121444
"804","Glutamine","Ethanolamine",-0.769778628647301,0.00340914022120176
"806","Shikimic acid","Ethanolamine",0.796840274147025,0.00191616018190488
"812","Lysine","Ethanolamine",-0.7390323258185,0.00603022656683017
"814","Tyrosine","Ethanolamine",-0.853533823375226,0.000412919862685435
"817","Glucaric acid","Ethanolamine",0.715394199165004,0.00890347830180604
"825","Eicosanoic acid","Ethanolamine",0.702339117065428,0.0108728674333736
"828","Docosanoic acid","Ethanolamine",0.718407123364675,0.00848963176028028
"832","Tetracosanoic acid","Ethanolamine",0.701054131991128,0.0110828398067415
"851","Isoleucine","Leucine",0.92223591846687,1.96340564393438e-05
"856","Glyceric acid","Leucine",-0.70440493695404,0.0105415185901507
"870","Pyroglutamate","Leucine",0.847877446922271,0.000494092293355619
"876","Asparagine","Leucine",0.959722069451801,7.80200988703683e-07
"877","Arabinose","Leucine",0.831477638038019,0.000800741189133092
"880","Glutamine","Leucine",0.93669300776597,7.19656869230256e-06
"882","Shikimic acid","Leucine",-0.814426690685976,0.00125764141476337
"888","Lysine","Leucine",0.931797953046611,1.03566725551119e-05
"890","Tyrosine","Leucine",0.886785190676814,0.000120783312244743
"891","Gluconic acid","Leucine",0.718262083469894,0.00850921808820448
"935","Nonanoic acid","Glycerol",0.757299742593389,0.00433864746615753
"939","beta-Alanine","Glycerol",0.748989649574894,0.00505628624322441
"940","Putrescine","Glycerol",0.75050738195448,0.00491897374428207
"962","Fructose","Glycerol",-0.707186631647141,0.0101072835950031
"968","Hexadecanoic acid","Glycerol",0.805765841737719,0.00155544634871374
"973","9-(Z)-Octadecenoic acid","Glycerol",0.728526058695443,0.00720431223650753
"979","1-Monohexadecanoylglycerol","Glycerol",0.773838943387626,0.00314210432858575
"1010","Fumaric acid","Phosphoric acid",0.749581523455597,0.00500239842368999
"1014","Glutaric acid","Phosphoric acid",0.817309297521884,0.00116897082376655
"1018","Adipic acid","Phosphoric acid",0.90808077015673,4.42140385823464e-05
"1045","Glucaric acid","Phosphoric acid",0.888602972752093,0.000111746245422539
"1050","Octadecanoic acid","Phosphoric acid",0.786460608334777,0.00241257682865159
"1053","Eicosanoic acid","Phosphoric acid",0.770443833294518,0.00336425221378733
"1054","Docosanol","Phosphoric acid",0.793404741819509,0.002070860518538
"1056","Docosanoic acid","Phosphoric acid",0.800734542451328,0.00175167585631941
"1060","Tetracosanoic acid","Phosphoric acid",0.834888837605603,0.000727313563473775
"1084","Glyceric acid","Isoleucine",-0.776569495888725,0.00297168503763046
"1098","Pyroglutamate","Isoleucine",0.878300332512279,0.000170808844430548
"1104","Asparagine","Isoleucine",0.883371885511358,0.000139291298387523
"1108","Glutamine","Isoleucine",0.908077313888331,4.42220877627797e-05
"1110","Shikimic acid","Isoleucine",-0.90081622447089,6.38668697348077e-05
