,time,ticks,elapse_time,memory_delta,memory_size,namespace,module,function,expression,file,line
1,#2022-01-23 02:34:13#,181,00:00:00.0000181,0,61.6094,SMRUCC/R#_runtime,n/a,@profile,""run"" <- declare function '$run<$anonymous_07973>'() {...,profiler.R,19
2,#2022-01-23 02:34:13#,131676,00:00:00.0131676,-60.2266,1.38281,SMRUCC/R#_runtime,n/a,@profile,Call ""gc""(),profiler.R,19
3,#2022-01-23 02:34:13#,78410,00:00:00.0078410,11.7695,13.1523,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,"[&x, &y] <- Call ""abs""([&x, &y])",profiler.R,3
4,#2022-01-23 02:34:13#,222693,00:00:00.0222693,6.55859,19.7109,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,if ((&x > &y)) then {...,profiler.R,3
5,#2022-01-23 02:34:13#,9394,00:00:00.0009394,0.0390625,19.75,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,if ((&y == 0)) then {...,profiler.R,3
6,#2022-01-23 02:34:13#,14144,00:00:00.0014144,0.03125,19.7812,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,""r"" <- (&x / &y),profiler.R,3
7,#2022-01-23 02:34:13#,9909,00:00:00.0009909,0.03125,19.8125,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,return (&y * Call ""sqrt""((1 + (&r ^ 2)))),profiler.R,3
8,#2022-01-23 02:34:13#,518796,00:00:00.0518796,0.03125,19.8125,SMRUCC/R#,forloop,for_loop_[1],"Call ""print""(Call ""hypot""(&i, 3))",profiler.R,21
9,#2022-01-23 02:34:13#,962747,00:00:00.0962747,24.0859,43.8984,SMRUCC/R#,forloop,for_loop_[1],"Call ""rep""(1, ""times"" <- 1000000)",profiler.R,21
10,#2022-01-23 02:34:13#,65078,00:00:00.0065078,-42.6875,1.21094,SMRUCC/R#,forloop,for_loop_[1],Call ""gc""(),profiler.R,21
11,#2022-01-23 02:34:13#,3132,00:00:00.0003132,4.64844,5.85938,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,"[&x, &y] <- Call ""abs""([&x, &y])",profiler.R,3
12,#2022-01-23 02:34:13#,9037,00:00:00.0009037,2.04297,7.90234,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,if ((&x > &y)) then {...,profiler.R,3
13,#2022-01-23 02:34:13#,5554,00:00:00.0005554,0.0898438,7.99219,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,if ((&y == 0)) then {...,profiler.R,3
14,#2022-01-23 02:34:13#,758,00:00:00.0000758,0.0507812,8.04297,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,""r"" <- (&x / &y),profiler.R,3
15,#2022-01-23 02:34:13#,1581,00:00:00.0001581,0.0742188,8.11719,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,return (&y * Call ""sqrt""((1 + (&r ^ 2)))),profiler.R,3
16,#2022-01-23 02:34:13#,139823,00:00:00.0139823,0.0742188,8.11719,SMRUCC/R#,forloop,for_loop_[2],"Call ""print""(Call ""hypot""(&i, 3))",profiler.R,21
17,#2022-01-23 02:34:13#,972648,00:00:00.0972648,27.418,35.5352,SMRUCC/R#,forloop,for_loop_[2],"Call ""rep""(1, ""times"" <- 1000000)",profiler.R,21
18,#2022-01-23 02:34:13#,56902,00:00:00.0056902,-34.3242,1.21094,SMRUCC/R#,forloop,for_loop_[2],Call ""gc""(),profiler.R,21
19,#2022-01-23 02:34:13#,2501,00:00:00.0002501,3.375,4.58594,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,"[&x, &y] <- Call ""abs""([&x, &y])",profiler.R,3
20,#2022-01-23 02:34:13#,11557,00:00:00.0011557,3.08594,7.67188,SMRUCC/R#,declare_function,hypot<$anonymous_07972>,if ((&x > &y)) then {...,profiler.R,3
